Description,Amount,Transaction Date,Transaction Type,Status,Statement id,Bank and last 4
AUTOMATIC STATEMENT CREDIT,-19.97,2025-04-14,Credit,Posted,2025-05 - Discover 1342,Discover 1342
PAYMENT - THANK YOU,-1150.00,2025-04-16,Payment,Posted,2025-05 - Discover 1342,Discover 1342
PAYMENT - THANK YOU,-250.00,2025-05-01,Payment,Posted,2025-05 - Discover 1342,Discover 1342
PAYMENT - THANK YOU,-400.00,2025-05-02,Payment,Posted,2025-05 - Discover 1342,Discover 1342
PAYMENT - THANK YOU,-7000.00,2025-05-10,Payment,Posted,2025-05 - Discover 1342,Discover 1342
FASTPOST 2099144140 CA,81.00,2025-04-11,Purchase,Posted,2025-05 - Discover 1342,Discover 1342
TOUR FACTORY 8884583943 IL,150.00,2025-04-11,Purchase,Posted,2025-05 - Discover 1342,Discover 1342
AMAZON PRIME*BP0I268Q3,7.64,2025-04-17,Purchase,Posted,2025-05 - Discover 1342,Discover 1342
WWW.CUBETRACKER.COM 2693597886 MI,19.95,2025-04-25,Purchase,Posted,2025-05 - Discover 1342,Discover 1342
INTUIT *QBOOKS ONLINE,35.00,2025-04-26,Purchase,Posted,2025-05 - Discover 1342,Discover 1342
AMAZON KIDS *A68SZ3ZB3 888-802-3080,5.99,2025-04-27,Purchase,Posted,2025-05 - Discover 1342,Discover 1342
PY *SPACE SHOP STORAGE O NORTH OLMSTED,142.60,2025-05-01,Purchase,Posted,2025-05 - Discover 1342,Discover 1342
AMAZON.COM*N265U5RF0,7.38,2025-05-02,Purchase,Posted,2025-05 - Discover 1342,Discover 1342
AMAZON.COM*NI5GV0FN2,36.84,2025-05-02,Purchase,Posted,2025-05 - Discover 1342,Discover 1342
AMAZON.COM*NI17D3FA2,36.84,2025-05-02,Purchase,Posted,2025-05 - Discover 1342,Discover 1342
PRIME VIDEO CHANNELS,12.99,2025-05-07,Purchase,Posted,2025-05 - Discover 1342,Discover 1342
INTEREST CHARGE ON PURCHASES,114.11,2025-05-12,Interest,Posted,2025-05 - Discover 1342,Discover 1342
